year,month,day,pressure,humidity,temperature,wind_speed,wind_direction,dew_point,rainfall
1982,1,1,96.34,56.44,21.43,5.05,136.25,10.8,0
1982,1,2,96.22,54.19,22.48,5.81,153.94,11.15,0
1982,1,3,96.05,54.69,22.72,3.52,185.12,11.49,0
1982,1,4,96.1,57.81,22.66,4.99,222.38,12.39,0
1982,1,5,96.29,55.88,22.69,5.98,181.5,11.3,0
1982,1,6,96.29,59.62,23.66,4.69,131.62,13.21,0
1982,1,7,96.34,57.94,22.93,5.74,133.12,11.41,0
1982,1,8,96.31,52.62,23.76,3.6,160.56,11.62,0
1982,1,9,96.15,56.94,23.41,4.13,212.25,12.48,0.05
1982,1,10,96.09,64.31,22.85,4.67,236.12,13.15,0.59
1982,1,11,96.1,60.06,22.76,6.5,100.69,11.84,0.63
1982,1,12,96.11,67.75,23.22,5.28,113,14.77,2.72
1982,1,13,96.1,67.81,23.41,5.26,145.38,15.16,0.21
1982,1,14,96.15,60.62,23.72,5.34,243.44,13.4,0.01
1982,1,15,96.19,57.31,24.25,5.84,243.5,12.63,0.03
1982,1,16,96.2,49.56,24.79,5.9,231.88,11.1,0
1982,1,17,96.21,42.62,23.61,5.74,302.19,7.98,0
1982,1,18,96.23,36.38,23.73,7.79,244.75,6.33,0
1982,1,19,96.24,36.06,23.9,5.91,229.38,5.45,0
1982,1,20,96.18,35.12,24.28,4.66,212.12,6.1,0
1982,1,21,96.26,32.56,24.14,5.44,302,4.53,0.03
1982,1,22,96.28,33.81,22.44,6.79,305.94,3.24,0.1
1982,1,23,96.25,31.12,22.05,4.54,311.44,2.07,0
1982,1,24,96.25,27.94,22.9,3.87,240.88,1.54,0
1982,1,25,96.33,33.69,23.39,8.12,200.75,5.24,0.2
1982,1,26,96.33,51.06,24.92,4.68,144.25,11.26,0.01
1982,1,27,96.4,59.12,23.19,7.04,38.5,11.68,0
1982,1,28,96.31,61.56,24.55,6.6,67.88,14,6.92
1982,1,29,96.45,80.94,19.89,2.38,67.81,16.04,4.03
1982,1,30,96.3,75.44,22.54,4.2,147.19,16.69,8.02
1982,1,31,96.25,71.5,22.98,5.42,115.81,15.97,6.4
1982,2,1,96.24,73.06,22.52,5.09,94,15.71,3.1
1982,2,2,96.12,67.44,23.66,4.35,161.5,15.44,0.58
1982,2,3,96.06,54.69,23.15,6.14,265.94,11,0
1982,2,4,96.13,61.44,21.49,3.76,302.88,11.37,0
1982,2,5,96.24,55.12,19.9,4.53,191.94,7.99,0.02
1982,2,6,96.12,51.62,20.69,3.52,134.12,7.9,0
1982,2,7,96.12,45.88,20.76,4.64,246.25,7.23,0
1982,2,8,96.14,38.62,20.91,3,224.69,5.35,0
1982,2,9,96.15,38.62,22.59,5.7,171.75,6.42,0
1982,2,10,96.18,41.75,23.95,5.12,142.69,7.93,0
1982,2,11,96.04,38.88,25.2,9.26,271.44,7.62,0
1982,2,12,96.03,48.88,24.08,3.67,288.81,10.1,0
1982,2,13,96.1,52,24.22,4.38,237.88,9.85,0
1982,2,14,96.15,33.31,24.43,7.78,236.12,4.26,0
1982,2,15,96.04,24.19,25.18,7.7,274.5,0.17,0
1982,2,16,95.94,31.31,24.84,5.61,288.31,2.9,0
1982,2,17,95.99,42.25,24.4,4.64,283.25,6.76,0
1982,2,18,96.1,34.62,24.02,5.99,306,4.5,0
1982,2,19,96.15,32.5,25.57,7.16,299.19,5.16,0
1982,2,20,96.28,36.94,25.5,6.84,298.38,6.37,0
1982,2,21,96.2,28.31,24.29,5.29,204.06,1.1,0
1982,2,22,96.04,24.12,25.12,6.79,185.44,-0.38,0
1982,2,23,96.07,20.69,24.1,5.78,252,-1.88,0
1982,2,24,95.99,35.19,25.6,4.88,95.94,4.94,0
1982,2,25,95.96,38.69,26.71,4.62,194.56,8.34,0
1982,2,26,95.99,38.44,28.3,6.48,89.5,9.07,0
1982,2,27,95.99,34,29.08,6.62,158.5,8.29,0
1982,2,28,96.01,30.69,27.01,6.55,270.19,4.52,0.18
1982,3,1,95.94,48.12,24.78,4.16,272.06,9.13,0.11
1982,3,2,96.09,35.69,23.42,6.23,283.19,-0.27,0.06
1982,3,3,96.29,14.25,23.84,7.18,203.38,-7.88,0
1982,3,4,96.13,13,25.59,8.14,288.31,-7.52,0
1982,3,5,96,25.19,25.16,2.98,279.25,0.79,0
1982,3,6,95.94,34.12,24.58,2.14,289.62,2.14,0
1982,3,7,96.02,14.06,24.09,6.39,199.38,-8.02,0
1982,3,8,96.03,12.06,25.89,5.8,308.38,-7.8,0
1982,3,9,96.02,22.31,26.8,5.07,298.88,0.28,0
1982,3,10,96.01,37.62,27.1,5.04,288.25,8.44,0
1982,3,11,96.14,29.88,25.42,6.09,314.44,0.06,0
1982,3,12,96.21,18.81,25.8,7.35,63.62,-2.65,0
1982,3,13,96.16,20.31,28.19,8,69.5,-0.77,0
1982,3,14,96.02,17.06,30.4,6.66,118.12,-0.27,0
1982,3,15,95.91,16.12,31.05,8,198.25,-0.59,0
1982,3,16,95.71,19.75,30.41,4.77,305.62,2.48,0
1982,3,17,95.69,31.88,29.69,5.2,279.44,6.45,0
1982,3,18,95.72,27.19,29.64,6.43,280.19,3.11,0
1982,3,19,95.81,26.38,30.41,5.55,254.94,3.98,0
1982,3,20,95.85,26,31.04,6.73,147.19,4.6,0
1982,3,21,95.76,23.06,33.01,5.69,96.81,7.19,0
1982,3,22,95.7,24.62,34.32,6.74,224.44,8.74,0.81
1982,3,23,95.81,25.62,32.37,7.16,274.44,7.67,2.65
1982,3,24,95.87,26,30.23,2.66,288.69,5.67,0
1982,3,25,95.88,29.44,29.48,5.43,306.38,6.05,0.19
1982,3,26,95.9,29.12,29.61,4.9,162.12,6.13,0
1982,3,27,95.92,23.75,31.38,5.15,76.94,5.01,0
1982,3,28,95.98,19.38,32.01,4.71,50.62,2.81,0
1982,3,29,96.05,18.81,32.83,3.68,17.62,3.62,0
1982,3,30,96.11,20.38,32.99,4.88,171.44,4.37,0
1982,3,31,95.88,16.38,33.51,5.82,330.5,1.67,0
1982,4,1,95.64,22.81,33.41,4.79,293,5.8,0
1982,4,2,95.7,27.56,32.1,4.05,285.81,6.21,0
1982,4,3,95.81,32.94,31.59,5.06,275.56,8.19,0
1982,4,4,95.88,38.62,30.4,4.62,285.81,10.51,0
1982,4,5,95.84,37.94,30.83,5.1,271.38,9.14,0
1982,4,6,95.94,33.06,32.78,7.06,278.62,8.61,0
1982,4,7,96.1,27.56,33.72,7.78,278.25,6.26,0
1982,4,8,95.99,17,33.71,7.16,297.69,1.12,0
1982,4,9,95.88,12.5,34.05,7.66,303.25,-2.24,0
1982,4,10,95.8,16.31,33.94,7.12,315.25,0.96,0
1982,4,11,95.72,22.69,35.06,7.46,253.56,5.04,0
1982,4,12,95.78,26.44,34.19,7.73,267.56,7.76,14.34
1982,4,13,95.75,47.38,30.62,6.75,264.75,14.87,10.9
1982,4,14,95.76,44.06,31.59,7.51,290.88,14.58,0
1982,4,15,95.7,38.25,31.58,6.59,261.25,13.51,0
1982,4,16,95.64,37.12,29.87,4.99,265.69,11.2,0
1982,4,17,95.51,45.19,30,3.34,260.75,13.21,0
1982,4,18,95.52,50.88,29.71,5.07,276.56,14.16,0
1982,4,19,95.64,47.5,29.37,4.17,282.25,13.59,0
1982,4,20,95.58,35.44,33.33,6.62,263.12,11.27,0
1982,4,21,95.76,33.06,32.94,7.36,242.56,11.3,0
